brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,engine_displacement_l,engine_cylinders,transmission_type
Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,2018,"71,669 mi.",Gasoline,Blue,Black,None reported,Yes,"$20,000",2.0,4.0,Automatic
Cadillac,XT5 Luxury,2019,"44,692 mi.",Gasoline,Bronze Dune Metallic,Shara Beige,None reported,,"$32,368",3.6,6.0,Automatic
Jaguar,F-TYPE R,2018,"16,002 mi.",Gasoline,Black,Red,None reported,Yes,"$74,900",5.0,8.0,Automatic
Toyota,FJ Cruiser Base,2014,"86,000 mi.",Gasoline,Blue,Black,None reported,Yes,"$41,500",4.0,6.0,Automatic
Toyota,Tundra SR5,2019,"56,000 mi.",Gasoline,Blue,Black,None reported,Yes,"$42,000",5.7,8.0,Automatic
Nissan,300ZX Base,1993,"168,000 mi.",–,White,Black,None reported,Yes,"$7,000",,,Manual
RAM,1500 Sport,2017,"41,789 mi.",Gasoline,Green,Black,At least 1 accident or damage reported,Yes,"$42,500",5.7,8.0,Automatic
Ford,Focus SE,2014,"60,109 mi.",E85 Flex Fuel,Gray,Black,None reported,Yes,"$9,499",2.0,4.0,Automatic
Mercedes-Benz,GLE 350 Base 4MATIC,2020,"48,000 mi.",Gasoline,Black,Black,None reported,Yes,"$49,995",2.0,4.0,Automatic
Acura,TL Type S,2008,"122,000 mi.",Gasoline,Gray,Beige,None reported,Yes,"$11,500",3.5,6.0,Other
Land,Rover Range Rover HSE,2012,"102,800 mi.",Gasoline,Gold,Brown,None reported,Yes,"$16,000",5.0,8.0,Automatic
MINI,Convertible Cooper,2022,"15,544 mi.",Gasoline,Blue,Brown,,,"$28,000",1.5,3.0,Automatic
Mazda,CX-9 Signature,2019,"69,771 mi.",Gasoline,Black,Red,None reported,Yes,"$27,500",2.5,4.0,Automatic
Acura,TLX Tech,2023,"2,118 mi.",Gasoline,Red,Black,None reported,,"$41,998",2.0,,Automatic
Ford,F-150 Raptor,2021,"28,260 mi.",Gasoline,Blue,Blue,None reported,Yes,"$72,950",3.5,6.0,Automatic
Honda,Civic Si Base,2020,"6,025 mi.",Gasoline,Gray,Gray,None reported,Yes,"$27,500",1.5,4.0,Manual
Hyundai,Elantra SE,2018,"32,697 mi.",Gasoline,Gray,Gray,At least 1 accident or damage reported,Yes,"$15,900",2.0,4.0,Automatic
Ford,Excursion Limited,2001,"239,000 mi.",Gasoline,White,–,None reported,Yes,"$8,000",6.8,10.0,Automatic
Jaguar,F-TYPE S British Design Edition,2017,"34,150 mi.",Gasoline,Black,Black,None reported,Yes,"$45,999",3.0,6.0,Automatic
Honda,Ridgeline RTL-E,2022,"9,642 mi.",Gasoline,Radiant Red Metallic II,Black,None reported,,"$38,999",3.5,6.0,Automatic
Pontiac,G6 GTP,2006,"100,545 mi.",Gasoline,Gray,Black,None reported,Yes,"$5,995",3.5,6.0,Automatic
Mercedes-Benz,C-Class C300 4MATIC,2021,"11,111 mi.",Gasoline,Gray,Black,None reported,,"$38,998",2.0,,Automatic
Toyota,FJ Cruiser Base,2007,"162,000 mi.",Gasoline,Black,Black,None reported,Yes,"$23,977",4.0,6.0,Automatic
Buick,Enclave Premium,2020,"87,555 mi.",Gasoline,Dark Moon Blue Metallic,Dark Galvanized,At least 1 accident or damage reported,Yes,"$31,650",3.6,6.0,Automatic
Chevrolet,Tahoe LTZ,2015,"102,200 mi.",Gasoline,Silver,Black,None reported,Yes,"$25,000",5.3,8.0,Automatic
Bentley,Continental GTC V8,2013,"18,950 mi.",Gasoline,White,Black,None reported,Yes,"$77,999",4.0,8.0,Other
Mercedes-Benz,SLK-Class SLK 350,2015,"16,000 mi.",Gasoline,White,Red,At least 1 accident or damage reported,Yes,"$30,500",3.5,6.0,Automatic
Cadillac,Escalade Premium Luxury,2022,"19,250 mi.",Gasoline,Black,Black,None reported,Yes,"$86,999",6.2,8.0,Automatic
BMW,535 i xDrive,2015,"65,000 mi.",Gasoline,Silver,Black,None reported,Yes,"$24,995",3.0,6.0,Other
MINI,Cooper S Base,2007,"110,022 mi.",Gasoline,Silver,Black,None reported,Yes,"$6,250",1.6,4.0,Manual
Bentley,Continental GT Base,2012,"79,089 mi.",E85 Flex Fuel,White,Beige,None reported,Yes,"$46,999",6.0,12.0,Automatic
Lexus,GX 460 Premium,2023,"2,533 mi.",Gasoline,Black,Black,None reported,Yes,"$64,900",4.6,8.0,Automatic
Audi,Q7 3.0T Premium Plus,2014,"96,273 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$15,495",3.0,6.0,Automatic
Cadillac,CT6 Luxury,2020,"22,187 mi.",Gasoline,Manhattan Noir Metallic,Shara Beige,At least 1 accident or damage reported,Yes,"$45,480",3.6,6.0,Automatic
GMC,Sierra 1500 SL Crew Cab,2009,"137,000 mi.",Gasoline,Red,–,None reported,Yes,"$20,000",4.8,8.0,Automatic
Nissan,GT-R Premium,2009,"60,747 mi.",Gasoline,White,–,At least 1 accident or damage reported,Yes,"$71,999",3.8,6.0,Automatic
Dodge,Ram 1500 ST,2007,"36,500 mi.",Gasoline,Blue,Gray,None reported,Yes,"$16,000",3.7,6.0,Automatic
Ford,Bronco Outer Banks,2021,"19,590 mi.",Gasoline,Blue,Gray,None reported,Yes,"$54,999",2.7,6.0,Automatic
Nissan,GT-R Black Edition,2015,"16,850 mi.",Gasoline,White,Black,None reported,Yes,"$95,000",3.8,6.0,Other
Cadillac,Escalade ESV Sport,2021,"4,500 mi.",Gasoline,White,Beige,,,"$105,000",6.2,8.0,Automatic
Chevrolet,Cruze LT,2012,"194,000 mi.",Gasoline,Gray,White,At least 1 accident or damage reported,Yes,"$4,900",1.4,4.0,Automatic
Lexus,GX 460 Base,2020,"48,210 mi.",Gasoline,Nebula Gray Pearl,Rioja Red,At least 1 accident or damage reported,Yes,"$47,449",4.6,8.0,Automatic
BMW,750 i,2018,"81,500 mi.",Gasoline,White,White,None reported,Yes,"$41,250",4.4,8.0,Automatic
Ford,F-150 XLT,2021,"77,107 mi.",Gasoline,Agate Black Metallic,Black,,,"$39,995",3.5,6.0,Automatic
BMW,535 i xDrive,2015,"58,664 mi.",Gasoline,Blue,Gray,At least 1 accident or damage reported,Yes,"$20,950",3.0,6.0,Automatic
Mitsubishi,Montero Limited,2004,"145,000 mi.",Gasoline,Silver,Black,None reported,Yes,"$8,950",3.8,6.0,Automatic
Lexus,LS 500 F Sport,2018,"15,055 mi.",Gasoline,White,Black,None reported,Yes,"$59,000",3.5,6.0,Automatic
Tesla,Model S 85D,2015,"67,647 mi.",,Blue,Beige,None reported,Yes,"$28,000",,,Automatic
Lexus,LC 500 Base,2021,915 mi.,Gasoline,Blue,White,None reported,Yes,"$159,000",5.0,8.0,Automatic
Mazda,MX-5 Miata Shinsen,2003,"46,873 mi.",Gasoline,Gray,Blue,None reported,Yes,"$11,500",1.8,4.0,Manual
Cadillac,Escalade ESV Premium Luxury,2021,"53,169 mi.",Gasoline,Black,Black,None reported,Yes,"$81,500",6.2,8.0,Automatic
Lexus,GX 460 Premium,2022,"35,700 mi.",Gasoline,Silver,Gray,At least 1 accident or damage reported,Yes,"$51,900",4.6,8.0,Automatic
Nissan,Pathfinder Platinum,2014,"112,600 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$13,000",3.5,6.0,Other
GMC,Yukon SLE,2015,"112,552 mi.",Gasoline,Onyx Black,Jet Black,At least 1 accident or damage reported,Yes,"$24,440",5.3,8.0,Automatic
BMW,M3 Base,2003,"127,273 mi.",Gasoline,Silver,Black,None reported,Yes,"$15,000",3.2,6.0,Manual
Lexus,IS 250 Base,2007,"189,887 mi.",Gasoline,White,–,At least 1 accident or damage reported,Yes,"$3,995",2.5,6.0,Automatic
BMW,640 i,2012,"76,465 mi.",Gasoline,White,Beige,At least 1 accident or damage reported,Yes,"$22,500",3.0,6.0,Automatic
Mitsubishi,Eclipse Spyder GT,2007,"136,400 mi.",Gasoline,Red,Gray,At least 1 accident or damage reported,Yes,"$6,750",3.8,6.0,Automatic
Ford,Thunderbird Deluxe,2004,"79,635 mi.",Gasoline,Gray,Black,None reported,Yes,"$13,500",3.9,8.0,Automatic
Tesla,Model Y Long Range,2022,"4,665 mi.",,Silver,Black,None reported,,"$46,598",,,Automatic
Buick,Enclave 1XL,2011,"170,000 mi.",Gasoline,Gold,Beige,At least 1 accident or damage reported,Yes,"$4,000",3.6,6.0,Automatic
Ford,F-150 XLT,2018,"67,650 mi.",Gasoline,Blue,Gray,None reported,Yes,"$30,000",3.5,6.0,Automatic
Lexus,ES 350 Base,2016,"119,850 mi.",Gasoline,White,Beige,None reported,Yes,"$19,000",3.5,6.0,Automatic
Acura,TL Type S,2008,"116,500 mi.",Gasoline,Red,Black,None reported,Yes,"$15,999",3.5,6.0,Manual
Mercury,Capri XR2,1993,"120,644 mi.",–,Green,Gray,None reported,Yes,"$4,200",,,Manual
Ford,Transit Connect XLT,2010,"169,802 mi.",Gasoline,Frozen White,Dark Gray,None reported,Yes,"$9,985",2.0,4.0,Automatic
BMW,X3 M40i,2021,"36,905 mi.",Gasoline,Blue,Beige,None reported,Yes,"$50,000",3.0,6.0,Other
Jeep,Gladiator Willys,2022,"8,400 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$47,000",3.6,6.0,Automatic
Hummer,H2 Base,2003,"149,961 mi.",Gasoline,Beige,Beige,At least 1 accident or damage reported,Yes,"$12,500",6.0,8.0,Automatic
Mercedes-Benz,C-Class C 63 AMG,2014,"84,500 mi.",Gasoline,White,Black,None reported,Yes,"$41,500",6.2,8.0,Automatic
Lamborghini,Aventador LP700-4,2016,"3,254 mi.",Gasoline,Bianco Isis,Giallo Taurus / Nero Ade,None reported,,"$399,900",6.5,12.0,Automatic
Mercedes-Benz,G-Class G 550 4MATIC,2016,"96,000 mi.",Gasoline,Blue,Brown,None reported,Yes,"$65,000",4.0,8.0,Automatic
Nissan,GT-R Premium,2009,"88,000 mi.",Gasoline,White,White,At least 1 accident or damage reported,Yes,"$57,000",3.8,6.0,Other
Audi,R8 4.2 quattro Spyder,2011,"35,322 mi.",Gasoline,Phantom Black Pearl Effect / Black Roof,Red,None reported,,"$94,900",4.2,8.0,Manual
Acura,TLX A-Spec,2020,"32,500 mi.",Gasoline,White,Red,None reported,Yes,"$32,000",2.4,4.0,Automatic
Audi,A6 3.0T Premium Plus,2016,"71,280 mi.",Gasoline,Silver,Black,None reported,Yes,"$22,000",3.0,6.0,Automatic
Porsche,Panamera 2,2011,"37,200 mi.",Gasoline,Black,Beige,None reported,Yes,"$27,500",3.6,6.0,Automatic
Saturn,Sky Red Line,2008,"94,291 mi.",Gasoline,White,–,None reported,Yes,"$14,500",2.0,4.0,Automatic
Maserati,Coupe Cambiocorsa,2006,"54,082 mi.",Gasoline,Blue,Beige,None reported,Yes,"$17,000",4.2,8.0,Other
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,"7,800 mi.",Plug-In Hybrid,Black,Beige,None reported,Yes,"$66,000",2.0,4.0,Automatic
Jeep,Wrangler Sport,2016,"86,250 mi.",Gasoline,White,Black,None reported,Yes,"$22,000",3.6,6.0,Automatic
BMW,X5 xDrive50i,2016,"75,479 mi.",Gasoline,Silver,Black,None reported,Yes,"$27,899",4.4,8.0,Other
BMW,750 i,2017,"24,650 mi.",Gasoline,Silver,Black,None reported,Yes,"$50,000",4.4,8.0,Automatic
Volkswagen,Golf R 4-Door,2013,"102,750 mi.",Gasoline,Black,Black,None reported,Yes,"$20,000",2.0,4.0,Manual
Alfa,Romeo Stelvio Base,2018,"50,000 mi.",Gasoline,Brown,Brown,None reported,Yes,"$27,500",2.0,4.0,Automatic
BMW,X5 xDrive35i,2017,"72,700 mi.",Gasoline,Gray,Black,None reported,Yes,"$27,499",3.0,6.0,Automatic
BMW,X6 M Base,2018,"54,293 mi.",Gasoline,Black,Beige,At least 1 accident or damage reported,Yes,"$49,000",4.4,8.0,Automatic
Lexus,IS 300 Base,2018,"16,000 mi.",Gasoline,Blue,Brown,At least 1 accident or damage reported,Yes,"$30,500",3.5,6.0,Automatic
Lamborghini,Gallardo SE,2006,"19,500 mi.",Gasoline,Green,Yellow,None reported,Yes,"$129,000",5.0,10.0,Automatic
BMW,428 i,2014,"71,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$16,700",2.0,4.0,Other
BMW,X5 xDrive40i,2019,"60,000 mi.",Gasoline,White,Beige,None reported,Yes,"$36,500",3.0,6.0,Automatic
Porsche,Boxster Base,1998,"75,539 mi.",Gasoline,Blue,Beige,None reported,Yes,"$11,995",2.5,6.0,Manual
Alfa,Romeo Giulia Base,2017,"36,000 mi.",Gasoline,White,Red,None reported,Yes,"$21,000",2.0,4.0,Automatic
Mercedes-Benz,C-Class C 300,2019,"76,422 mi.",Gasoline,Black,Black,None reported,,"$28,998",2.0,,Automatic
Nissan,370Z NISMO Tech,2016,"42,600 mi.",Gasoline,Red,Black,At least 1 accident or damage reported,Yes,"$31,950",3.7,6.0,Automatic
Rivian,R1S Adventure Package,2023,211 mi.,,Blue,Black,None reported,Yes,"$99,000",,,Automatic
Chevrolet,Suburban LT,2017,"98,888 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$29,000",6.0,8.0,Automatic
Ford,Fusion Hybrid SE,2019,"64,532 mi.",Hybrid,Silver,Gray,At least 1 accident or damage reported,Yes,"$19,395",2.0,4.0,Automatic
BMW,X3 xDrive35i,2011,"75,500 mi.",Gasoline,White,Black,None reported,Yes,"$12,975",3.0,6.0,Automatic
Buick,Envision Preferred,2019,"32,000 mi.",Gasoline,Black,Beige,None reported,Yes,"$27,000",2.5,4.0,Automatic
Buick,Envision Essence,2019,"47,839 mi.",Gasoline,Summit White,Ebony,None reported,Yes,"$24,991",2.5,4.0,Automatic
Porsche,Cayenne GTS,2013,"98,413 mi.",Gasoline,Green,Black,At least 1 accident or damage reported,Yes,"$34,900",4.8,8.0,Other
Audi,RS 5 2.9T,2022,"9,628 mi.",Gasoline,White,Black,None reported,Yes,"$78,500",2.9,6.0,Automatic
Jaguar,XK8 Base,1999,"15,000 mi.",Gasoline,Green,Beige,None reported,Yes,"$16,370",4.0,8.0,Automatic
Audi,R8 5.2 V10,2021,"6,397 mi.",Gasoline,Kemora Gray Metallic,Black / Express Red,None reported,,"$172,900",5.2,10.0,Automatic
Honda,Pilot Black Edition,2022,"22,564 mi.",Gasoline,Platinum White Pearl,Black,None reported,,"$44,998",3.5,,Automatic
Lexus,RX 350 Crafted Line F Sport,2015,"110,000 mi.",Gasoline,White,Black,None reported,Yes,"$28,000",3.5,6.0,Other
Mercedes-Benz,Sprinter 3500 High Roof,2022,105 mi.,Diesel,Black,Orange,None reported,Yes,"$200,000",2.0,4.0,Automatic
Toyota,4Runner Limited,2004,"186,117 mi.",Gasoline,Black,Beige,None reported,Yes,"$13,000",4.0,6.0,Automatic
Jeep,Wrangler Sport,2002,"103,500 mi.",Gasoline,Yellow,Gray,None reported,Yes,"$12,500",4.0,6.0,Manual
Cadillac,CT6-V 4.2L Blackwing Twin Turbo,2019,"8,074 mi.",Gasoline,Manhattan Noir Metallic,Jet Black,None reported,,"$76,700",4.2,8.0,Automatic
BMW,M3 Base,2011,"43,000 mi.",Gasoline,Black,Black,None reported,Yes,"$50,900",4.0,8.0,Manual
BMW,750 i,2015,"70,700 mi.",Gasoline,Blue,Black,At least 1 accident or damage reported,Yes,"$23,000",4.4,8.0,Automatic
Chevrolet,Trailblazer RS,2022,"42,479 mi.",Gasoline,Mosaic Black Metallic,Jet Black,None reported,Yes,"$28,495",1.3,3.0,Automatic
Ford,Excursion XLT 4WD,2000,"205,000 mi.",Gasoline,Black,Gray,At least 1 accident or damage reported,Yes,"$9,950",6.8,10.0,Automatic
Audi,SQ5 3.0T Premium Plus,2019,"22,300 mi.",Gasoline,Blue,Gray,None reported,Yes,"$38,999",3.0,6.0,Automatic
Ford,Expedition EL Limited,2017,"104,000 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$19,995",3.5,6.0,Automatic
Ford,Bronco Sport Base,2022,"13,865 mi.",Gasoline,Shadow Black,Ebony,None reported,Yes,"$29,182",1.5,3.0,Automatic
BMW,M4 Competition xDrive,2022,"15,882 mi.",Gasoline,Red,Silver,None reported,Yes,"$84,995",3.0,6.0,Automatic
Land,Rover Defender,2022,"12,209 mi.",Gasoline,Black,Black,None reported,,"$104,900",5.0,8.0,Automatic
Mercedes-Benz,AMG GLC 43 AMG GLC 43,2021,"10,483 mi.",Gasoline,Graphite Grey Metallic,Black w/Red Stitching,None reported,,"$60,998",3.0,,Automatic
Nissan,GT-R Premium,2017,"31,150 mi.",Gasoline,Orange,Black,None reported,Yes,"$113,000",3.8,6.0,Other
Chrysler,200 C,2015,"44,000 mi.",E85 Flex Fuel,White,Black,At least 1 accident or damage reported,Yes,"$12,700",3.6,6.0,Automatic
Hummer,H2 Base,2003,"109,000 mi.",Gasoline,Beige,Beige,None reported,Yes,"$17,500",6.0,8.0,Automatic
BMW,M4 Base,2020,"31,350 mi.",Gasoline,Gray,Orange,None reported,Yes,"$62,450",3.0,6.0,Other
Audi,Q8 55 Premium Plus,2021,"30,000 mi.",Hybrid,Black,Black,None reported,Yes,"$62,000",3.0,6.0,Automatic
Land,Rover Range Rover HSE,2012,"66,500 mi.",Gasoline,Silver,Black,None reported,Yes,"$19,950",5.0,8.0,Automatic
Nissan,Frontier SV,2012,"96,600 mi.",Gasoline,Beige,Black,At least 1 accident or damage reported,Yes,"$17,000",4.0,6.0,Automatic
Toyota,Highlander LE Plus,2015,"198,000 mi.",Gasoline,White,Gray,None reported,Yes,"$14,000",3.5,6.0,Automatic
Audi,S4 3.0T Premium Plus,2013,"91,877 mi.",Gasoline,Black,Red,At least 1 accident or damage reported,Yes,"$24,000",3.0,6.0,Automatic
Ford,Expedition Max Limited,2018,"45,578 mi.",Gasoline,White,–,None reported,Yes,"$45,023",3.5,6.0,Automatic
BMW,228 i,2015,"54,000 mi.",Gasoline,Black,Red,At least 1 accident or damage reported,Yes,"$19,996",2.0,4.0,Manual
Land,Rover Range Rover Sport HST MHEV,2020,"52,000 mi.",Hybrid,Gray,Black,None reported,Yes,"$55,000",3.0,6.0,Automatic
Mercedes-Benz,E-Class AMG E 53,2020,"23,044 mi.",Hybrid,Emerald Green Metallic,Black/Saddle Brown,None reported,,"$72,598",3.0,,Automatic
Porsche,911 Carrera,2008,"132,500 mi.",Gasoline,Black,Black,None reported,Yes,"$35,000",3.6,6.0,Manual
Dodge,Dakota SLT Quad Cab,2006,"256,000 mi.",Gasoline,Black,Gray,None reported,Yes,"$4,000",4.7,8.0,Automatic
Mercedes-Benz,SL-Class SL63 AMG Roadster,2009,"31,370 mi.",Gasoline,White,Brown,None reported,Yes,"$65,700",6.3,8.0,Other
Chrysler,Sebring LX,2008,"67,303 mi.",Gasoline,Blue,Blue,None reported,Yes,"$4,900",2.4,4.0,Automatic
Chevrolet,Corvette Stingray w/3LT,2021,"12,000 mi.",Gasoline,Blue,Black,At least 1 accident or damage reported,Yes,"$99,900",6.2,8.0,Automatic
Ford,Bronco Outer Banks,2023,"16,500 mi.",Gasoline,Blue,Gray,None reported,Yes,"$54,000",2.3,4.0,Automatic
Toyota,Tacoma TRD Pro,2018,"28,800 mi.",Gasoline,–,Black,None reported,,"$42,900",3.5,,Manual
RAM,ProMaster 2500 High Roof,2019,"88,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$39,900",3.6,6.0,Automatic
Ford,Shelby GT350 Base,2018,"18,515 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$60,867",5.2,8.0,Manual
Tesla,Model 3 Performance,2018,"92,813 mi.",,Red,Black,None reported,Yes,"$30,499",,,Automatic
Land,Rover Range Rover P530 SE LWB 7 Seat,2023,"2,100 mi.",Gasoline,Gray,Beige,None reported,Yes,"$172,000",4.4,8.0,Automatic
Volvo,XC60 T6 Inscription,2019,"58,600 mi.",Gasoline,White,White,At least 1 accident or damage reported,Yes,"$29,000",2.0,4.0,Automatic
Lexus,LS 460 Crafted Line,2015,"74,500 mi.",Gasoline,White,Red,None reported,Yes,"$33,900",4.6,8.0,Other
Tesla,Model S 100D,2018,"33,500 mi.",,Gray,Black,None reported,Yes,"$51,900",,,Automatic
Cadillac,XT6 Premium Luxury AWD,2023,222 mi.,Gasoline,White,Black,None reported,Yes,"$69,000",3.6,6.0,Automatic
Chevrolet,Avalanche 1500 LTZ,2007,"75,124 mi.",E85 Flex Fuel,Red,Gray,None reported,Yes,"$16,499",5.3,8.0,Automatic
Chevrolet,Corvette Grand Sport,2013,"15,500 mi.",Gasoline,White,Blue,None reported,Yes,"$45,000",6.2,8.0,Other
Audi,Q8 55 Premium,2020,"34,300 mi.",Hybrid,Gray,Brown,None reported,Yes,"$52,500",3.0,6.0,Automatic
Honda,Odyssey Elite,2019,"82,000 mi.",Gasoline,Silver,Black,None reported,Yes,"$32,471",3.5,6.0,Automatic
Acura,TLX,2023,"3,389 mi.",Gasoline,Platinum White Pearl,Black,None reported,,"$38,598",2.0,,Automatic
Porsche,Cayenne GTS Coupe AWD,2023,"10,000 mi.",Gasoline,Gray,Black,None reported,Yes,"$145,000",4.0,8.0,Automatic
Cadillac,STS V6,2005,"96,000 mi.",Gasoline,Beige,Brown,At least 1 accident or damage reported,Yes,"$4,999",3.6,6.0,Automatic
Dodge,Charger R/T,2021,"7,751 mi.",Gasoline,Black,Black,None reported,Yes,"$41,950",5.7,8.0,Automatic
Audi,RS 7 4.0T Performance Prestige,2017,"66,250 mi.",Gasoline,Gray,Gray,At least 1 accident or damage reported,Yes,"$59,200",4.0,8.0,Automatic
Lexus,CT 200h Premium,2012,"109,000 mi.",Hybrid,White,Black,At least 1 accident or damage reported,Yes,"$14,945",1.8,4.0,Automatic
Hyundai,Genesis Coupe 3.8 Base,2015,"60,000 mi.",Gasoline,Black,Black,None reported,Yes,"$17,000",3.8,6.0,Other
Tesla,Model S Performance,2020,"14,700 mi.",,Gray,Black,None reported,Yes,"$63,000",,,Automatic
Mercedes-Benz,E-Class E 350 4MATIC,2022,"9,006 mi.",Gasoline,Black,Black,None reported,Yes,"$56,999",2.0,4.0,Automatic
Toyota,GR86 Base,2022,"13,400 mi.",Gasoline,Silver,Black,None reported,Yes,"$33,499",2.4,4.0,Automatic
Porsche,Macan S,2020,"28,570 mi.",Gasoline,White,Black,None reported,,"$55,998",3.0,,Automatic
Dodge,Durango SRT,2018,"78,000 mi.",Gasoline,White,Black,At least 1 accident or damage reported,Yes,"$44,700",6.4,8.0,Other
Lexus,LX 570 Base,2013,"134,000 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$29,995",5.7,8.0,Automatic
Kia,Optima Hybrid EX,2013,"104,994 mi.",Hybrid,Black,Beige,None reported,Yes,"$9,000",2.4,4.0,Automatic
Bentley,Continental GT V8 S,2016,"31,500 mi.",Gasoline,Black,Beige,None reported,Yes,"$103,900",4.0,8.0,Automatic
Alfa,Romeo Giulia Base,2020,"30,000 mi.",Gasoline,Black,–,None reported,Yes,"$28,900",2.0,4.0,Automatic
Lexus,LX 600 F SPORT,2023,490 mi.,Gasoline,Black,Black,None reported,Yes,"$124,999",3.4,6.0,Automatic
Porsche,Taycan Turbo,2020,"18,000 mi.",,Silver,Black,None reported,Yes,"$105,000",,,Automatic
Toyota,Sequoia Limited,2017,"67,000 mi.",E85 Flex Fuel,Silver,Gray,None reported,Yes,"$37,999",5.7,8.0,Automatic
Kia,K5 EX,2021,"8,263 mi.",Gasoline,Gray,White,None reported,Yes,"$29,000",1.6,4.0,Automatic
RAM,1500 Big Horn,2021,"35,003 mi.",Gasoline,Bright White Clearcoat,Diesel Gray / Black,None reported,Yes,"$40,999",5.7,8.0,Automatic
Chevrolet,Corvette Base,2008,"80,000 mi.",Gasoline,Red,Beige,None reported,Yes,"$31,000",6.2,8.0,Automatic
Chevrolet,Corvette Stingray w/1LT,2022,"6,200 mi.",Gasoline,Brown,Black,None reported,Yes,"$99,999",6.2,8.0,Other
Jaguar,F-TYPE S,2014,"74,595 mi.",Gasoline,Green,Black,At least 1 accident or damage reported,Yes,"$32,450",5.0,8.0,Automatic
Audi,A7 3.0T Prestige,2013,"87,066 mi.",Gasoline,Silver,Black,None reported,Yes,"$20,999",3.0,6.0,Automatic
Audi,Q8 3.0T Prestige,2019,"38,360 mi.",Gasoline,Orca Black Metallic,Black,None reported,,"$49,936",3.0,6.0,Automatic
Kia,Telluride SX,2020,"38,000 mi.",Gasoline,Green,Beige,None reported,Yes,"$41,999",3.8,6.0,Automatic
Toyota,Camry Hybrid XLE,2018,"69,641 mi.",Hybrid,White,Black,At least 1 accident or damage reported,Yes,"$23,995",2.5,4.0,Other
Toyota,GR86 Premium,2022,"1,275 mi.",Gasoline,Blue,Black,None reported,Yes,"$47,999",2.4,4.0,Automatic
BMW,M3 Base,2001,"60,000 mi.",Gasoline,Black,Gray,None reported,Yes,"$25,000",3.2,6.0,Manual
Jeep,Wrangler Rubicon,2014,"99,450 mi.",Gasoline,Gray,Black,None reported,Yes,"$21,000",3.6,6.0,Manual
Toyota,Tundra Hybrid Capstone,2023,200 mi.,Hybrid,Blue,White,None reported,Yes,"$82,500",3.4,6.0,Automatic
Porsche,Panamera 4 Edition,2016,"68,000 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$32,950",3.6,6.0,Other
Lexus,GS 350 Base,2010,"212,000 mi.",Gasoline,Gray,Black,At least 1 accident or damage reported,Yes,"$9,450",3.5,6.0,Automatic
GMC,Sierra 3500 Denali,2019,"73,091 mi.",Diesel,White,Black,At least 1 accident or damage reported,Yes,"$58,500",6.6,8.0,Automatic
Kia,Niro Plug-In Hybrid EX,2023,"9,400 mi.",Plug-In Hybrid,Black,Black,None reported,Yes,"$31,500",1.6,4.0,Automatic
Porsche,Cayenne Base,2014,"117,697 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$16,975",3.6,6.0,Automatic
Mercedes-Benz,S-Class S 65 AMG,2015,"95,428 mi.",Gasoline,Silver,Silver,None reported,Yes,"$55,000",6.0,12.0,Automatic
Lexus,GX 460 Premium,2017,"116,300 mi.",Gasoline,Gray,Beige,None reported,Yes,"$31,950",4.6,8.0,Automatic
Acura,MDX Sport Hybrid 3.0L w/Technology Package,2019,"56,778 mi.",Hybrid,Black,Black,None reported,Yes,"$41,899",3.0,6.0,Automatic
Audi,Q5 S line Premium Plus,2023,"5,682 mi.",Hybrid,Chronos Gray,Gray,None reported,,"$48,698",2.0,,Automatic
BMW,530 i,2017,"37,000 mi.",Gasoline,Gray,Black,None reported,Yes,"$31,000",2.0,4.0,Automatic
Kia,Forte Koup EX,2015,"103,748 mi.",Gasoline,Gray,Gray,None reported,Yes,"$8,500",2.0,4.0,Automatic
Toyota,Sequoia Limited,2005,"86,000 mi.",Gasoline,Silver,–,None reported,Yes,"$22,500",4.7,8.0,Automatic
Land,Rover LR4 HSE,2013,"125,900 mi.",Gasoline,Black,Beige,None reported,Yes,"$21,000",5.0,8.0,Automatic
Nissan,Titan SV,2023,"6,200 mi.",Gasoline,Black,Gray,None reported,Yes,"$48,000",5.6,8.0,Automatic
Ford,F-250 Lariat,2019,"85,000 mi.",Diesel,Black,Black,At least 1 accident or damage reported,Yes,"$52,500",6.7,8.0,Automatic
Mercedes-Benz,AMG GT AMG GT,2017,"19,324 mi.",Gasoline,Gray,Beige,None reported,Yes,"$75,000",4.0,8.0,Other
Cadillac,Escalade Platinum,2018,"49,273 mi.",Gasoline,Red,Black,None reported,Yes,"$54,000",6.2,8.0,Automatic
